SalesID,OrderID,OrderDate,ShipDate,ProductID,CustomerID,StoreID,Quantity,UnitPrice,DiscountPct,GrossSales,Cost
1,O100001,25-08-21,08-09-21,P0012,C0305,S022,12,8792.16,0,105505.92,65172
2,O100002,13-02-23,22-02-23,P0010,C0352,S042,12,23177.55,0,278130.6,179028
3,O100003,19-06-23,24-06-23,P0001,C0448,S046,7,4675.34,0,32727.38,26936
4,O100004,06-02-24,08-02-24,P0009,C0191,S043,7,26212.11,0.2,183484.77,126392
5,O100005,29-03-19,30-03-19,P0004,C0127,S011,11,22626.59,0.05,248892.49,198770
6,O100006,30-05-20,12-06-20,P0010,C0344,S015,19,23177.55,0.05,440373.45,283461
7,O100007,09-10-19,23-10-19,P0006,C0396,S018,18,4352.97,0.05,78353.46,58860
8,O100008,03-06-21,17-06-21,P0013,C0115,S049,8,15510.94,0.1,124087.52,90792
9,O100009,27-08-20,09-09-20,P0005,C0328,S045,20,17097.45,0,341949,280500
10,O100010,09-02-22,23-02-22,P0002,C0499,S049,5,12407.97,0.05,62039.85,46060
11,O100011,23-10-21,05-11-21,P0009,C0157,S031,6,26212.11,0,157272.66,108336
12,O100012,16-04-19,19-04-19,P0013,C0443,S039,1,15510.94,0.1,15510.94,11349
13,O100013,01-09-21,11-09-21,P0004,C0004,S029,11,22626.59,0,248892.49,198770
14,O100014,14-12-20,19-12-20,P0012,C0236,S011,2,8792.16,0.05,17584.32,10862
15,O100015,21-09-23,30-09-23,P0009,C0172,S001,4,26212.11,0,104848.44,72224
16,O100016,04-05-24,12-05-24,P0004,C0486,S013,12,22626.59,0.2,271519.08,216840
17,O100017,22-03-20,30-03-20,P0011,C0211,S035,17,681.98,0.05,11593.66,7004
18,O100018,27-06-19,09-07-19,P0002,C0261,S023,17,12407.97,0.1,210935.49,156604
19,O100019,20-02-24,02-03-24,P0009,C0022,S038,1,26212.11,0,26212.11,18056
20,O100020,15-05-24,29-05-24,P0005,C0315,S034,13,17097.45,0.15,222266.85,182325
21,O100021,18-03-20,26-03-20,P0003,C0213,S032,15,7835.06,0,117525.9,71580
22,O100022,27-11-19,03-12-19,P0007,C0002,S008,20,26164.34,0.05,523286.8,335180
23,O100023,27-09-19,30-09-19,P0011,C0176,S010,9,681.98,0.2,6137.82,3708
24,O100024,24-08-22,31-08-22,P0002,C0039,S039,20,12407.97,0.2,248159.4,184240
25,O100025,22-04-22,30-04-22,P0002,C0331,S046,17,12407.97,0.2,210935.49,156604
26,O100026,29-10-23,31-10-23,P0013,C0360,S001,4,15510.94,0.2,62043.76,45396
27,O100027,30-05-21,06-06-21,P0012,C0093,S028,15,8792.16,0.05,131882.4,81465
28,O100028,22-08-23,28-08-23,P0002,C0287,S028,15,12407.97,0.15,186119.55,138180
29,O100029,31-08-23,12-09-23,P0007,C0407,S029,4,26164.34,0.1,104657.36,67036
30,O100030,15-10-23,21-10-23,P0002,C0395,S031,9,12407.97,0.1,111671.73,82908
31,O100031,17-09-20,28-09-20,P0012,C0253,S019,16,8792.16,0,140674.56,86896
32,O100032,09-01-20,23-01-20,P0009,C0237,S023,3,26212.11,0,78636.33,54168
33,O100033,04-11-23,06-11-23,P0006,C0264,S010,12,4352.97,0.05,52235.64,39240
34,O100034,03-09-19,13-09-19,P0001,C0335,S016,18,4675.34,0.2,84156.12,69264
35,O100035,12-09-22,23-09-22,P0008,C0109,S025,4,24525.84,0.15,98103.36,74360
36,O100036,19-12-22,02-01-23,P0010,C0478,S022,14,23177.55,0,324485.7,208866
37,O100037,24-03-22,03-04-22,P0005,C0205,S029,10,17097.45,0.1,170974.5,140250
38,O100038,29-02-20,10-03-20,P0011,C0091,S023,17,681.98,0.05,11593.66,7004
39,O100039,25-09-20,06-10-20,P0006,C0090,S046,16,4352.97,0.05,69647.52,52320
40,O100040,19-03-20,25-03-20,P0011,C0337,S046,18,681.98,0.1,12275.64,7416
41,O100041,15-04-20,28-04-20,P0008,C0117,S008,9,24525.84,0.2,220732.56,167310
42,O100042,15-07-21,28-07-21,P0013,C0027,S015,14,15510.94,0.2,217153.16,158886
43,O100043,18-04-19,28-04-19,P0008,C0176,S032,9,24525.84,0,220732.56,167310
44,O100044,08-01-21,13-01-21,P0008,C0179,S012,10,24525.84,0.1,245258.4,185900
45,O100045,08-12-22,09-12-22,P0007,C0152,S021,6,26164.34,0.05,156986.04,100554
46,O100046,30-06-23,02-07-23,P0008,C0229,S045,5,24525.84,0,122629.2,92950
47,O100047,11-01-20,23-01-20,P0013,C0425,S007,17,15510.94,0.05,263685.98,192933
48,O100048,21-03-23,28-03-23,P0005,C0325,S024,15,17097.45,0.1,256461.75,210375
49,O100049,06-10-20,12-10-20,P0005,C0342,S044,10,17097.45,0.1,170974.5,140250
50,O100050,14-12-19,15-12-19,P0009,C0417,S042,5,26212.11,0.05,131060.55,90280
51,O100051,23-07-19,03-08-19,P0010,C0144,S044,3,23177.55,0.1,69532.65,44757
52,O100052,20-12-23,31-12-23,P0013,C0009,S029,14,15510.94,0.15,217153.16,158886
53,O100053,16-12-23,23-12-23,P0002,C0391,S034,9,12407.97,0.05,111671.73,82908
54,O100054,29-09-24,01-10-24,P0007,C0217,S003,12,26164.34,0.15,313972.08,201108
55,O100055,30-03-20,04-04-20,P0007,C0336,S012,19,26164.34,0.15,497122.46,318421
56,O100056,28-11-24,09-12-24,P0012,C0133,S014,10,8792.16,0,87921.6,54310
57,O100057,22-06-21,29-06-21,P0005,C0427,S050,20,17097.45,0,341949,280500
58,O100058,01-02-19,05-02-19,P0009,C0220,S025,10,26212.11,0.05,262121.1,180560
59,O100059,16-07-20,29-07-20,P0007,C0004,S032,9,26164.34,0.1,235479.06,150831
60,O100060,05-09-22,07-09-22,P0007,C0088,S014,1,26164.34,0.15,26164.34,16759
61,O100061,30-10-23,02-11-23,P0004,C0343,S002,5,22626.59,0.15,113132.95,90350
62,O100062,21-12-24,02-01-25,P0005,C0018,S043,8,17097.45,0.2,136779.6,112200
63,O100063,21-12-22,23-12-22,P0005,C0459,S040,13,17097.45,0,222266.85,182325
64,O100064,22-11-23,23-11-23,P0003,C0447,S040,15,7835.06,0,117525.9,71580
65,O100065,06-07-22,16-07-22,P0007,C0370,S044,14,26164.34,0.2,366300.76,234626
66,O100066,15-07-23,27-07-23,P0010,C0458,S024,14,23177.55,0.1,324485.7,208866
67,O100067,16-04-20,23-04-20,P0002,C0416,S032,1,12407.97,0.1,12407.97,9212
68,O100068,04-12-20,17-12-20,P0012,C0206,S035,20,8792.16,0.15,175843.2,108620
69,O100069,22-01-23,24-01-23,P0013,C0304,S008,14,15510.94,0,217153.16,158886
70,O100070,23-09-21,30-09-21,P0007,C0315,S029,19,26164.34,0.15,497122.46,318421
71,O100071,16-11-24,18-11-24,P0001,C0038,S037,13,4675.34,0.1,60779.42,50024
72,O100072,22-10-22,26-10-22,P0008,C0119,S017,11,24525.84,0.05,269784.24,204490
73,O100073,09-11-19,18-11-19,P0012,C0444,S006,4,8792.16,0.2,35168.64,21724
74,O100074,19-09-24,23-09-24,P0013,C0401,S001,12,15510.94,0.1,186131.28,136188
75,O100075,27-08-20,31-08-20,P0010,C0327,S016,4,23177.55,0.05,92710.2,59676
76,O100076,14-11-21,18-11-21,P0002,C0303,S002,6,12407.97,0.2,74447.82,55272
77,O100077,18-09-20,01-10-20,P0010,C0374,S044,3,23177.55,0.05,69532.65,44757
78,O100078,16-07-24,24-07-24,P0002,C0087,S013,19,12407.97,0.2,235751.43,175028
79,O100079,13-01-24,24-01-24,P0003,C0228,S036,19,7835.06,0.2,148866.14,90668
80,O100080,16-08-22,30-08-22,P0008,C0363,S031,11,24525.84,0.05,269784.24,204490
81,O100081,07-12-23,09-12-23,P0011,C0366,S007,16,681.98,0.15,10911.68,6592
82,O100082,25-05-22,07-06-22,P0002,C0360,S006,9,12407.97,0.2,111671.73,82908
83,O100083,19-08-19,25-08-19,P0012,C0359,S028,17,8792.16,0,149466.72,92327
84,O100084,25-06-22,03-07-22,P0006,C0219,S043,15,4352.97,0,65294.55,49050
85,O100085,22-08-19,28-08-19,P0007,C0064,S045,10,26164.34,0,261643.4,167590
86,O100086,05-01-20,15-01-20,P0007,C0168,S041,20,26164.34,0.2,523286.8,335180
87,O100087,24-04-23,02-05-23,P0009,C0495,S002,19,26212.11,0.2,498030.09,343064
88,O100088,18-06-19,26-06-19,P0011,C0244,S038,19,681.98,0.05,12957.62,7828
89,O100089,09-08-22,19-08-22,P0010,C0458,S016,16,23177.55,0.2,370840.8,238704
90,O100090,09-09-20,10-09-20,P0003,C0094,S028,15,7835.06,0,117525.9,71580
91,O100091,07-11-22,19-11-22,P0010,C0084,S031,3,23177.55,0.2,69532.65,44757
92,O100092,07-12-20,08-12-20,P0005,C0290,S015,8,17097.45,0.15,136779.6,112200
93,O100093,05-12-23,14-12-23,P0007,C0086,S028,17,26164.34,0.2,444793.78,284903
94,O100094,12-10-20,18-10-20,P0009,C0026,S025,12,26212.11,0.1,314545.32,216672
95,O100095,06-05-23,13-05-23,P0001,C0046,S032,11,4675.34,0.2,51428.74,42328
96,O100096,03-08-19,16-08-19,P0009,C0131,S001,11,26212.11,0,288333.21,198616
97,O100097,12-09-22,14-09-22,P0003,C0175,S008,18,7835.06,0.15,141031.08,85896
98,O100098,09-03-22,14-03-22,P0011,C0139,S045,20,681.98,0.05,13639.6,8240
99,O100099,27-09-22,29-09-22,P0001,C0222,S021,19,4675.34,0.05,88831.46,73112
100,O100100,03-12-22,08-12-22,P0006,C0183,S047,13,4352.97,0.05,56588.61,42510
101,O100101,14-12-19,19-12-19,P0010,C0311,S017,18,23177.55,0.15,417195.9,268542
102,O100102,07-09-22,21-09-22,P0009,C0340,S015,5,26212.11,0.2,131060.55,90280
103,O100103,18-01-20,29-01-20,P0008,C0067,S020,14,24525.84,0.2,343361.76,260260
104,O100104,22-01-23,23-01-23,P0009,C0452,S027,12,26212.11,0.1,314545.32,216672
105,O100105,08-01-21,12-01-21,P0006,C0029,S013,11,4352.97,0.15,47882.67,35970
106,O100106,25-02-21,01-03-21,P0011,C0415,S040,5,681.98,0.05,3409.9,2060
107,O100107,13-11-19,18-11-19,P0001,C0120,S035,4,4675.34,0.2,18701.36,15392
108,O100108,26-11-24,27-11-24,P0012,C0248,S040,11,8792.16,0.2,96713.76,59741
109,O100109,20-06-20,30-06-20,P0003,C0094,S040,13,7835.06,0.05,101855.78,62036
110,O100110,26-10-20,29-10-20,P0012,C0364,S029,20,8792.16,0.05,175843.2,108620
111,O100111,28-11-23,29-11-23,P0001,C0024,S014,14,4675.34,0.1,65454.76,53872
112,O100112,30-08-21,07-09-21,P0013,C0475,S045,20,15510.94,0.1,310218.8,226980
113,O100113,13-01-24,17-01-24,P0003,C0100,S036,18,7835.06,0.05,141031.08,85896
114,O100114,21-06-22,04-07-22,P0008,C0014,S027,16,24525.84,0.05,392413.44,297440
115,O100115,15-02-23,26-02-23,P0005,C0264,S001,19,17097.45,0.15,324851.55,266475
116,O100116,06-03-24,19-03-24,P0013,C0348,S026,10,15510.94,0.15,155109.4,113490
117,O100117,21-08-24,30-08-24,P0009,C0190,S032,14,26212.11,0.05,366969.54,252784
118,O100118,28-03-21,10-04-21,P0012,C0420,S048,20,8792.16,0.05,175843.2,108620
119,O100119,21-10-21,22-10-21,P0011,C0349,S010,16,681.98,0.1,10911.68,6592
120,O100120,25-02-20,08-03-20,P0002,C0087,S016,17,12407.97,0,210935.49,156604
121,O100121,13-03-22,15-03-22,P0010,C0374,S007,6,23177.55,0.1,139065.3,89514
122,O100122,15-01-24,24-01-24,P0006,C0392,S043,5,4352.97,0.15,21764.85,16350
123,O100123,11-01-20,15-01-20,P0004,C0324,S020,15,22626.59,0.1,339398.85,271050
124,O100124,20-04-19,27-04-19,P0008,C0117,S024,2,24525.84,0.15,49051.68,37180
125,O100125,18-08-24,24-08-24,P0002,C0142,S045,8,12407.97,0.15,99263.76,73696
126,O100126,01-12-19,07-12-19,P0010,C0492,S012,8,23177.55,0,185420.4,119352
127,O100127,29-07-22,31-07-22,P0003,C0026,S012,11,7835.06,0.05,86185.66,52492
128,O100128,17-07-20,18-07-20,P0005,C0300,S037,10,17097.45,0.15,170974.5,140250
129,O100129,22-07-20,04-08-20,P0011,C0389,S020,16,681.98,0.15,10911.68,6592
130,O100130,22-01-19,24-01-19,P0013,C0408,S006,1,15510.94,0.1,15510.94,11349
131,O100131,02-06-21,16-06-21,P0008,C0292,S025,5,24525.84,0.2,122629.2,92950
132,O100132,01-12-24,08-12-24,P0007,C0438,S041,4,26164.34,0.1,104657.36,67036
133,O100133,31-08-21,05-09-21,P0012,C0016,S028,4,8792.16,0,35168.64,21724
134,O100134,03-09-21,10-09-21,P0005,C0224,S044,20,17097.45,0.15,341949,280500
135,O100135,15-09-19,17-09-19,P0001,C0398,S003,16,4675.34,0.2,74805.44,61568
136,O100136,09-03-19,20-03-19,P0013,C0010,S019,17,15510.94,0.2,263685.98,192933
137,O100137,17-09-21,29-09-21,P0007,C0107,S005,5,26164.34,0.1,130821.7,83795
138,O100138,25-10-23,26-10-23,P0001,C0429,S038,20,4675.34,0.1,93506.8,76960
139,O100139,12-09-21,22-09-21,P0009,C0079,S041,14,26212.11,0.05,366969.54,252784
140,O100140,17-12-19,26-12-19,P0007,C0457,S029,12,26164.34,0,313972.08,201108
141,O100141,24-11-24,03-12-24,P0013,C0067,S041,17,15510.94,0.2,263685.98,192933
142,O100142,25-03-19,01-04-19,P0003,C0479,S045,16,7835.06,0,125360.96,76352
143,O100143,04-05-23,10-05-23,P0011,C0080,S035,9,681.98,0,6137.82,3708
144,O100144,02-01-23,15-01-23,P0013,C0036,S046,3,15510.94,0.1,46532.82,34047
145,O100145,14-09-21,26-09-21,P0002,C0210,S042,4,12407.97,0.2,49631.88,36848
146,O100146,23-09-22,26-09-22,P0013,C0231,S005,2,15510.94,0.1,31021.88,22698
147,O100147,18-10-22,01-11-22,P0007,C0050,S031,6,26164.34,0.15,156986.04,100554
148,O100148,14-05-24,25-05-24,P0002,C0089,S037,6,12407.97,0.05,74447.82,55272
149,O100149,16-09-19,28-09-19,P0007,C0479,S012,15,26164.34,0,392465.1,251385
150,O100150,16-04-22,20-04-22,P0009,C0260,S024,2,26212.11,0.05,52424.22,36112
151,O100151,21-06-19,27-06-19,P0002,C0482,S038,10,12407.97,0.2,124079.7,92120
152,O100152,20-06-23,04-07-23,P0002,C0145,S012,18,12407.97,0.15,223343.46,165816
153,O100153,03-11-21,04-11-21,P0002,C0248,S035,7,12407.97,0.1,86855.79,64484
154,O100154,02-01-23,16-01-23,P0010,C0381,S021,2,23177.55,0.1,46355.1,29838
155,O100155,24-01-22,26-01-22,P0004,C0104,S033,12,22626.59,0.15,271519.08,216840
156,O100156,27-06-23,09-07-23,P0008,C0149,S031,15,24525.84,0.15,367887.6,278850
157,O100157,20-10-22,23-10-22,P0009,C0421,S004,16,26212.11,0.15,419393.76,288896
158,O100158,13-02-23,26-02-23,P0013,C0367,S021,17,15510.94,0.1,263685.98,192933
159,O100159,05-12-19,17-12-19,P0013,C0304,S033,14,15510.94,0,217153.16,158886
160,O100160,30-10-23,09-11-23,P0003,C0370,S020,6,7835.06,0.2,47010.36,28632
161,O100161,18-04-22,24-04-22,P0002,C0021,S010,4,12407.97,0,49631.88,36848
162,O100162,05-09-22,16-09-22,P0008,C0312,S019,10,24525.84,0.1,245258.4,185900
163,O100163,01-01-24,11-01-24,P0004,C0050,S014,14,22626.59,0.05,316772.26,252980
164,O100164,24-12-23,30-12-23,P0003,C0357,S015,15,7835.06,0,117525.9,71580
165,O100165,15-12-22,25-12-22,P0006,C0263,S001,14,4352.97,0.1,60941.58,45780
166,O100166,23-08-19,25-08-19,P0003,C0478,S025,13,7835.06,0.1,101855.78,62036
167,O100167,02-10-24,15-10-24,P0004,C0454,S011,6,22626.59,0,135759.54,108420
168,O100168,07-08-20,21-08-20,P0003,C0097,S014,20,7835.06,0.15,156701.2,95440
169,O100169,23-05-19,26-05-19,P0010,C0060,S001,3,23177.55,0.05,69532.65,44757
170,O100170,09-02-23,15-02-23,P0006,C0044,S016,13,4352.97,0.2,56588.61,42510
171,O100171,13-05-19,23-05-19,P0001,C0237,S024,5,4675.34,0.15,23376.7,19240
172,O100172,28-02-23,06-03-23,P0004,C0359,S034,15,22626.59,0,339398.85,271050
173,O100173,17-07-20,26-07-20,P0003,C0344,S035,12,7835.06,0.15,94020.72,57264
174,O100174,11-07-22,22-07-22,P0010,C0160,S024,9,23177.55,0.05,208597.95,134271
175,O100175,09-04-20,10-04-20,P0004,C0211,S005,6,22626.59,0.15,135759.54,108420
176,O100176,21-10-24,28-10-24,P0002,C0471,S021,18,12407.97,0,223343.46,165816
177,O100177,08-12-21,21-12-21,P0004,C0126,S028,9,22626.59,0.15,203639.31,162630
178,O100178,28-05-21,07-06-21,P0004,C0334,S020,10,22626.59,0.15,226265.9,180700
179,O100179,30-03-21,01-04-21,P0007,C0447,S046,5,26164.34,0,130821.7,83795
180,O100180,26-01-24,29-01-24,P0003,C0059,S047,15,7835.06,0,117525.9,71580
181,O100181,02-08-22,13-08-22,P0006,C0072,S039,12,4352.97,0,52235.64,39240
182,O100182,04-04-22,09-04-22,P0005,C0430,S049,6,17097.45,0.05,102584.7,84150
183,O100183,20-01-23,29-01-23,P0002,C0181,S043,8,12407.97,0,99263.76,73696
184,O100184,03-04-21,16-04-21,P0013,C0428,S028,5,15510.94,0.05,77554.7,56745
185,O100185,16-07-24,17-07-24,P0005,C0224,S015,12,17097.45,0.2,205169.4,168300
186,O100186,20-02-23,28-02-23,P0013,C0370,S041,18,15510.94,0.05,279196.92,204282
187,O100187,20-12-19,22-12-19,P0004,C0327,S030,10,22626.59,0.15,226265.9,180700
188,O100188,14-05-24,23-05-24,P0009,C0063,S049,14,26212.11,0.15,366969.54,252784
189,O100189,30-10-19,02-11-19,P0006,C0458,S019,11,4352.97,0,47882.67,35970
190,O100190,18-01-24,26-01-24,P0001,C0421,S049,17,4675.34,0.1,79480.78,65416
191,O100191,09-06-20,23-06-20,P0005,C0486,S033,18,17097.45,0.2,307754.1,252450
192,O100192,15-01-21,28-01-21,P0001,C0411,S027,5,4675.34,0.15,23376.7,19240
193,O100193,21-08-24,04-09-24,P0004,C0185,S022,2,22626.59,0,45253.18,36140
194,O100194,23-10-24,26-10-24,P0002,C0473,S027,10,12407.97,0.05,124079.7,92120
195,O100195,25-10-20,31-10-20,P0007,C0131,S029,8,26164.34,0.1,209314.72,134072
196,O100196,26-10-24,31-10-24,P0013,C0428,S006,3,15510.94,0.1,46532.82,34047
197,O100197,15-03-21,26-03-21,P0008,C0059,S050,18,24525.84,0.1,441465.12,334620
198,O100198,27-05-20,07-06-20,P0012,C0432,S014,10,8792.16,0.2,87921.6,54310
199,O100199,25-12-24,27-12-24,P0001,C0258,S019,17,4675.34,0.05,79480.78,65416
200,O100200,23-09-20,26-09-20,P0006,C0139,S024,20,4352.97,0.2,87059.4,65400
201,O100201,14-10-22,28-10-22,P0007,C0118,S043,19,26164.34,0,497122.46,318421
202,O100202,27-04-19,29-04-19,P0010,C0283,S003,2,23177.55,0.2,46355.1,29838
203,O100203,20-12-21,31-12-21,P0013,C0308,S049,7,15510.94,0.2,108576.58,79443
204,O100204,03-09-23,13-09-23,P0005,C0390,S020,1,17097.45,0.15,17097.45,14025
205,O100205,01-04-22,12-04-22,P0005,C0489,S037,10,17097.45,0.15,170974.5,140250
206,O100206,30-09-21,13-10-21,P0004,C0420,S037,13,22626.59,0.1,294145.67,234910
207,O100207,01-02-24,03-02-24,P0013,C0430,S003,2,15510.94,0.05,31021.88,22698
208,O100208,06-12-23,13-12-23,P0012,C0318,S049,16,8792.16,0.15,140674.56,86896
209,O100209,15-04-21,21-04-21,P0012,C0326,S004,20,8792.16,0.05,175843.2,108620
210,O100210,04-07-22,18-07-22,P0003,C0033,S036,11,7835.06,0.1,86185.66,52492
211,O100211,22-06-23,25-06-23,P0005,C0153,S047,12,17097.45,0.2,205169.4,168300
212,O100212,10-03-20,16-03-20,P0011,C0355,S023,8,681.98,0.15,5455.84,3296
213,O100213,16-05-20,21-05-20,P0005,C0045,S005,15,17097.45,0.05,256461.75,210375
214,O100214,31-07-20,02-08-20,P0013,C0364,S022,2,15510.94,0.1,31021.88,22698
215,O100215,23-04-23,07-05-23,P0011,C0394,S043,20,681.98,0.15,13639.6,8240
216,O100216,13-10-21,27-10-21,P0005,C0348,S023,6,17097.45,0.1,102584.7,84150
217,O100217,04-07-22,08-07-22,P0004,C0319,S040,6,22626.59,0.15,135759.54,108420
218,O100218,09-10-24,17-10-24,P0010,C0226,S048,16,23177.55,0.1,370840.8,238704
219,O100219,30-07-24,31-07-24,P0011,C0076,S006,3,681.98,0.15,2045.94,1236
220,O100220,01-09-24,09-09-24,P0006,C0293,S015,8,4352.97,0.05,34823.76,26160
221,O100221,16-12-22,17-12-22,P0001,C0434,S005,2,4675.34,0.1,9350.68,7696
222,O100222,20-07-24,30-07-24,P0006,C0193,S008,16,4352.97,0.1,69647.52,52320
223,O100223,03-02-19,17-02-19,P0010,C0441,S030,4,23177.55,0.15,92710.2,59676
224,O100224,02-07-20,07-07-20,P0002,C0139,S032,12,12407.97,0.15,148895.64,110544
225,O100225,07-02-23,08-02-23,P0002,C0019,S008,13,12407.97,0,161303.61,119756
226,O100226,08-03-21,14-03-21,P0012,C0005,S035,18,8792.16,0.1,158258.88,97758
227,O100227,29-10-19,05-11-19,P0003,C0462,S041,17,7835.06,0.15,133196.02,81124
228,O100228,19-02-22,05-03-22,P0003,C0024,S001,20,7835.06,0.2,156701.2,95440
229,O100229,01-05-20,04-05-20,P0006,C0061,S009,4,4352.97,0.15,17411.88,13080
230,O100230,09-03-23,22-03-23,P0013,C0248,S023,11,15510.94,0.2,170620.34,124839
231,O100231,06-02-23,19-02-23,P0001,C0040,S022,5,4675.34,0.05,23376.7,19240
232,O100232,16-09-24,23-09-24,P0010,C0337,S023,17,23177.55,0,394018.35,253623
233,O100233,05-07-19,06-07-19,P0009,C0306,S013,5,26212.11,0.1,131060.55,90280
234,O100234,24-04-24,03-05-24,P0005,C0384,S019,15,17097.45,0.05,256461.75,210375
235,O100235,12-10-24,15-10-24,P0008,C0054,S045,11,24525.84,0.2,269784.24,204490
236,O100236,28-07-22,31-07-22,P0011,C0013,S013,13,681.98,0.2,8865.74,5356
237,O100237,10-05-22,20-05-22,P0008,C0476,S010,11,24525.84,0.2,269784.24,204490
238,O100238,18-09-24,27-09-24,P0013,C0373,S044,16,15510.94,0.2,248175.04,181584
239,O100239,12-05-22,20-05-22,P0010,C0033,S027,1,23177.55,0.1,23177.55,14919
240,O100240,18-09-22,29-09-22,P0006,C0254,S016,4,4352.97,0.15,17411.88,13080
241,O100241,14-06-22,27-06-22,P0007,C0466,S017,1,26164.34,0.2,26164.34,16759
242,O100242,27-04-24,02-05-24,P0002,C0118,S010,19,12407.97,0.2,235751.43,175028
243,O100243,21-07-21,02-08-21,P0010,C0054,S029,2,23177.55,0.2,46355.1,29838
244,O100244,21-05-24,24-05-24,P0012,C0469,S048,17,8792.16,0.2,149466.72,92327
245,O100245,07-04-23,10-04-23,P0007,C0145,S001,8,26164.34,0,209314.72,134072
246,O100246,26-03-20,30-03-20,P0008,C0489,S014,1,24525.84,0.15,24525.84,18590
247,O100247,08-07-22,15-07-22,P0005,C0112,S003,5,17097.45,0.15,85487.25,70125
248,O100248,15-04-21,22-04-21,P0007,C0462,S047,17,26164.34,0.2,444793.78,284903
249,O100249,15-04-24,29-04-24,P0005,C0161,S011,2,17097.45,0.05,34194.9,28050
250,O100250,25-10-24,29-10-24,P0013,C0481,S050,18,15510.94,0.1,279196.92,204282
251,O100251,13-05-24,22-05-24,P0012,C0044,S031,13,8792.16,0.1,114298.08,70603
252,O100252,10-12-20,18-12-20,P0007,C0178,S036,18,26164.34,0.1,470958.12,301662
253,O100253,22-12-22,02-01-23,P0004,C0372,S003,9,22626.59,0.2,203639.31,162630
254,O100254,06-06-24,10-06-24,P0006,C0088,S033,8,4352.97,0.1,34823.76,26160
